# Time-averaged data for fix avg_pol
# TimeStep c_polarization[1] c_polarization[2] c_polarization[3]
37300 38343.1 29666.3 -10.4367
37400 38491 29672 -12.634
37500 38657.7 29682.1 -16.5407
37600 38841.9 29700 -22.0095
37700 39038.3 29729.2 -28.3451
37800 39237.2 29772 -34.231
37900 39427.2 29827.9 -38.3914
38000 39599.2 29894.1 -40.1163
38100 39747.6 29966.5 -39.6787
38200 39871 30042.4 -37.8249
38300 39971.5 30120.6 -35.3217
38400 40053.2 30201.7 -32.792
38500 40120.8 30286.9 -30.5506
38600 40178.7 30377.9 -28.7816
38700 40230.9 30476.4 -27.6416
38800 40280.9 30583.7 -27.1912
38900 40332.3 30700.9 -27.4921
39000 40388.1 30827.9 -28.5508
39100 40451.7 30963.7 -30.2876
39200 40526.1 31105.3 -32.4597
39300 40613.6 31248.8 -34.7699
39400 40715.1 31389.9 -37.0343
39500 40830.2 31524.7 -39.1277
39600 40955.9 31650.9 -40.9584
39700 41088.4 31767.8 -42.2762
39800 41222 31875 -42.7609
39900 41350.9 31972 -42.1095
40000 41469.3 32058 -40.2711
40100 41573.8 32133 -37.5198
40200 41664.1 32198 -34.3175
40300 41741.6 32255.1 -30.9482
40400 41809.1 32306.4 -27.6674
40500 41868.8 32353.9 -24.487
40600 41923 32399.4 -21.4623
40700 41973.5 32444.5 -18.543
40800 42022 32490.5 -15.7116
40900 42069.8 32539.1 -12.9464
41000 42118.4 32591.6 -10.2423
41100 42168.8 32649.6 -7.61531
41200 42222.2 32714.6 -5.18679
41300 42280.2 32788.7 -3.09529
41400 42344.8 32874.2 -1.59464
41500 42418.4 32973.8 -1.10019
41600 42503.7 33089.9 -2.18812
41700 42603.5 33224.2 -5.55053
41800 42720.1 33376.2 -11.6296
41900 42853.5 33541.3 -20.0034
42000 43000.2 33710.5 -28.9354
42100 43152.9 33871.1 -35.8231
42200 43302.7 34011.3 -39.1254
42300 43442.8 34124.1 -39.1972
42400 43571.1 34208.9 -37.4089
42500 43689.8 34269.2 -34.9868
42600 43803.1 34310.1 -32.6617
42700 43915.3 34336.5 -30.7868
42800 44030.5 34352.9 -29.5194
42900 44152 34363 -28.9315
43000 44281.7 34370.2 -29.0843
43100 44420.4 34378.2 -29.912
43200 44567.8 34390.4 -31.3362
43300 44722.8 34410.2 -33.1641
43400 44883.3 34440.4 -35.2512
43500 45046.8 34482.6 -37.4575
43600 45210.3 34536.8 -39.5757
43700 45370 34601.1 -41.2783
43800 45522.2 34672.1 -42.2101
43900 45663 34746.2 -42.0144
44000 45789.2 34820 -40.6233
44100 45899.2 34891.6 -38.28
44200 45992.9 34960.2 -35.3363
44300 46071.7 35026.4 -32.197
44400 46137.7 35091.3 -29.1471
44500 46193.6 35156.7 -26.3019
44600 46242.2 35224.9 -23.7428
44700 46285.9 35298.1 -21.4784
44800 46326.4 35378.4 -19.5891
44900 46365.5 35467.6 -18.1814
45000 46404.8 35567.3 -17.4145
45100 46446.4 35679.2 -17.4823
45200 46492.8 35804.4 -18.59
45300 46546.6 35942.9 -20.8757
45400 46610.9 36092.7 -24.2633
45500 46688.3 36250.4 -28.3988
45600 46780.8 36410.6 -32.7244
45700 46888.7 36567.1 -36.6846
45800 47009.3 36713.6 -39.8
45900 47137.2 36846.2 -41.7382
46000 47265.4 36962.7 -42.3366
46100 47387.3 37062.9 -41.5065
46200 47498.3 37147.7 -39.4839
46300 47596.7 37219 -36.6514
46400 47682.9 37279 -33.4359
46500 47758.5 37329.9 -30.1574
46600 47826.1 37373.8 -26.9404
46700 47888 37412.8 -23.8347
46800 47946.3 37448.2 -20.8633
46900 48003 37481.3 -17.964
47000 48059.8 37513.2 -15.1142
47100 48118.2 37544.7 -12.2961
47200 48179.7 37576.5 -9.49933
47300 48246.1 37609.4 -6.74218
47400 48319.4 37644.3 -4.06959
47500 48401.8 37682.3 -1.61477
47600 48496.2 37724.5 0.408475
47700 48606.1 37772.7 1.60166
47800 48735 37828.7 1.35224
47900 48886.6 37894.7 -1.17338
48000 49062.8 37972.6 -6.79033
48100 49261.2 38063.1 -15.5439
48200 49473 38164.2 -25.7914
48300 49683 38271.4 -34.559
48400 49876.1 38379.4 -39.7779
48500 50044 38485 -41.7266
48600 50187.3 38587.9 -41.9338
48700 50311.5 38689 -41.3477
48800 50423.7 38789.5 -40.5945
48900 50530.4 38889.8 -39.8909
49000 50637.1 38990 -39.3672
49100 50747.7 39089.7 -39.0797
49200 50864.3 39188.3 -39.0775
49300 50988 39285.7 -39.4762
49400 51119 39382.1 -40.2573
49500 51255.8 39477.6 -41.3137
49600 51395.2 39571.5 -42.312
49700 51532.9 39662.6 -42.8357
49800 51664.4 39749.4 -42.4666
49900 51785.7 39830.4 -41.0348
50000 51893.7 39904.8 -38.6631
