# Time-averaged data for fix flux_out
# TimeStep c_flux[1] c_flux[2] c_flux[3]
38500 3472.82 1881.61 -122.013
38600 5420.51 3027.33 -185.302
38700 7216.62 3952.58 -247.403
38800 8751.3 4939.67 -158.476
38900 10001.1 5468.29 -20.0328
39000 10756.7 5916.65 -212.306
39100 11475.6 6083.84 -281.165
39200 11790.7 6300.67 -236.579
39300 11901.4 6240.36 -251.239
39400 11742.8 5969.19 -377.288
39500 11523.1 5822.9 -418.141
39600 10969.2 5469.21 -271.853
39700 10380.7 5168.85 -237.908
39800 10028.4 4747.33 -434.892
39900 9612.44 4298.11 -453.683
40000 9074.69 4182.82 -255.83
40100 8524.12 3945.55 -302.441
40200 8007.79 3892.04 -394.084
40300 7727.75 3787.59 -359.369
40400 7483.42 3733.27 -256.279
40500 7134.49 3995.03 -297.882
40600 7215.76 4094.94 -382.856
40700 6885.93 4217.5 -289.87
40800 6785.08 4360.22 -161.387
40900 7013.98 4683.19 -286.096
41000 6962.46 4861.6 -357.007
41100 7154.28 5094.17 -236.127
41200 7470.65 5415.35 -147.092
41300 7944.76 5577.64 -227.285
41400 8204.74 6017.39 -343.075
41500 8892.14 6168.45 -230.145
41600 9412.94 6302.21 -135.34
41700 10022.1 6754.01 -219.034
41800 10812 6853.7 -308.101
41900 11216 6745.96 -186.175
42000 11585.5 6819.18 -144.547
42100 11648.1 6830.51 -364.083
42200 11761.8 6857.1 -437.079
42300 11235.5 6448.13 -300.086
42400 10521.2 5903.46 -280.645
42500 9524.71 5368.38 -495.697
42600 8334.13 4518.43 -534.602
42700 6487.35 3859.91 -302.101
42800 4841.15 2725.89 -300.78
42900 2938.89 1425.7 -467.093
43000 651.795 494.446 -383.078
43100 -1211 -664.966 -103.771
43200 -3279.67 -2068 -89.4474
43300 -5104.93 -3040.5 -263.903
43400 -6621.6 -3991.35 -212.802
43500 -8097.18 -4801.56 -11.0638
43600 -9062.46 -5418.35 -83.3108
43700 -9957.57 -5778.35 -291.02
43800 -10455.8 -6015.64 -319.38
43900 -10515.7 -6258.82 -178.729
44000 -10264.1 -6125.06 -217.447
44100 -9856.35 -6190.82 -413.089
44200 -9428.75 -5951.52 -393.199
44300 -9181.08 -5775.5 -252.793
44400 -8402.45 -5417.63 -280.926
44500 -7785.89 -5045.76 -482.011
44600 -7408.53 -4828.36 -435.909
44700 -7039.13 -4297.81 -194.412
44800 -6526.83 -4332.72 -239.811
44900 -6507.26 -3849.59 -437.358
45000 -6175.53 -3808.51 -359.384
45100 -5994.3 -3483.55 -151.029
45200 -5731.67 -3216.05 -297.545
45300 -5802.48 -3120.07 -464.003
45400 -5882.84 -3063.14 -273.143
45500 -5973.36 -3027.64 -136.866
45600 -6291.56 -2981.7 -300.188
45700 -6313.93 -3040.73 -422.83
45800 -6666.64 -3418.18 -210.315
45900 -7106.58 -3532.77 -71.6419
46000 -7525.21 -3811.08 -311.762
46100 -8001.8 -4233.07 -454.084
46200 -8424.74 -4600.97 -152.369
46300 -8892.39 -4794.73 -86.8028
46400 -9290.86 -5252.41 -305.858
46500 -9896.72 -5624.79 -421.782
46600 -10039.3 -5935.45 -139.927
46700 -10462.6 -5905.73 -70.5849
46800 -10191.7 -6143.39 -432.367
46900 -10007.7 -5870.8 -530.861
47000 -9271.24 -5496.82 -274.485
47100 -8541.31 -5119.28 -250.232
47200 -7236.18 -4434.4 -611.978
47300 -5771.34 -3538.36 -556.458
47400 -4053.18 -2573.99 -195.602
47500 -2293.23 -1446.41 -232.531
47600 -125.131 -248.995 -504.873
47700 1990.4 925.121 -388.435
47800 3908.48 2172.6 -36.055
47900 5879.76 3376.43 -71.5724
48000 7587.34 4140.44 -361.036
48100 9094.86 5111.5 -228.811
48200 10172.9 5899.79 1.11621
48300 11106.6 6243.39 -158.896
48400 11630.6 6460.92 -399.257
48500 11984.9 6910.01 -365.093
48600 11937.8 6734.03 -133.398
48700 11714.3 6414 -270.939
48800 11203.1 6363.89 -580.353
48900 10879.3 6348.2 -387.616
49000 10410 5616.31 -173.925
49100 9720.54 5365.5 -374.026
49200 9340.95 5082.86 -486.908
49300 8837.65 4808.5 -343.761
49400 8449.72 4853.04 -124.029
49500 7802.2 4387.19 -361.733
49600 7731.35 4143.98 -485.689
49700 7478.01 4332.46 -265.459
49800 7142.02 4235.19 -83.1719
49900 7174.77 4046.42 -347.779
50000 7047.26 4211.25 -498.502
50100 7268.95 4170.63 -244.214
50200 7300.89 4237.76 -92.2764
50300 7449.01 4436.2 -374.883
50400 7924.82 4569.8 -465.412
50500 8298.84 4904.31 -136.818
50600 8556.41 5056.08 -72.6906
50700 9193.92 5205.47 -345.981
50800 9502.91 5697.86 -371.954
50900 10167.9 5761.54 -147.903
51000 10795.1 5934.35 -113.813
51100 11302.4 6499.31 -304.235
51200 11553.2 6541.57 -309.429
51300 11954.1 6669.38 -116.484
51400 12159.4 6787.65 -196.662
51500 11752 6678.45 -517.88
51600 11348.5 6257.48 -458.346
51700 10379.7 6016.99 -209.778
51800 9394.83 5283.76 -339.478
51900 7777.68 4490.41 -590.65
52000 6376.25 3370.61 -481.771
52100 4318.83 2227.46 -202.265
52200 2400.14 1061.91 -277.22
52300 288.286 -169.322 -426.734
52400 -1869.19 -1248.72 -253.49
52500 -3566.58 -2373.5 -12.9571
52600 -5574.01 -3438.52 -68.3109
52700 -7070.26 -4247.19 -356.033
52800 -8197.03 -4928.07 -183.945
52900 -9272.51 -5708.88 61.6881
53000 -9830.37 -5964.52 -205.01
53100 -10110.9 -6080.57 -519.504
53200 -10358.7 -6326.98 -393.189
53300 -9962.28 -6088.35 -117.905
53400 -9736.66 -6034.04 -270.031
53500 -9375.26 -5798.2 -588.137
53600 -8696.3 -5577.87 -428.328
53700 -8150.38 -5269.61 -59.328
53800 -7735.57 -4905.66 -352.413
53900 -7122.55 -4744.36 -564.143
54000 -6602.84 -4443.05 -333.766
54100 -6428.29 -3900.05 -87.8036
54200 -6136.43 -3715.29 -305.609
54300 -5933.36 -3617.63 -513.475
54400 -5737.17 -3598.41 -287.282
54500 -5594.71 -3339.31 -70.3434
54600 -5521.35 -3315.78 -391.257
54700 -5630.19 -3285.61 -481.42
54800 -5724.53 -3363.92 -232.664
